序号,关键词,店铺名称,地理位置,产品名称,产品价格,付款人数
1,广西巴马洗发水,国美黑发护发美发,广西北海,巴马生姜茶麸草本植物洗发水防脱固发去屑止痒手工熬制现做现发,?52,35人付款
2,广西巴马洗发水,瑶方中草药茶麸头疗馆,广东东莞,广西巴马纯天然植物洗发水控油去屑止痒洗发露,?48,18人付款
3,广西巴马洗发水,76号小店,广西北海,广西巴马草本植物洗发原浆十八味草本植物熬制防脱养发清洁去屑,?45,30人付款
4,广西巴马洗发水,芳华喜子,广西钦州,广西巴马草本植物洗发水去屑止痒防脱控油无硅油养发固发减少掉发,?49.5,52人付款
5,广西巴马洗发水,国美黑发护发美发,广西北海,广西巴马生姜茶麸草本洗发水手工熬制植物洗发原浆屑止痒防脱控油,?48,25人付款
6,广西巴马洗发水,76号小店,广西北海,广西巴马姜汁原液洗发露控油祛屑蓬松,?45,9人付款
7,广西巴马洗发水,巴马瑶方植物洗发水,广西南宁,广西巴马茶麸原浆控油蓬松清洁去屑止痒修复毛躁滋润护发洗发水,?57.4,8人付款
8,广西巴马洗发水,巴马瑶方植物洗发水,广西南宁,广西巴马草本生姜茶麸原浆防断何首乌去屑止痒防白柔顺洗发水,?91,6人付款
10,广西巴马洗发水,巴马瑶方植物洗发水,广西南宁,广西巴马生姜洗发水强韧发丝防断护发去屑24小时控油,?57.4,5人付款
11,广西巴马洗发水,76号小店,北京,广西巴马茶麸原浆洗发乳清洁头皮去屑止痒控油改善脱发,?45,2人付款
12,广西巴马洗发水,巴马瑶方植物洗发水,广西南宁,广西巴马草本原浆防断发洗发水灵芝护发防断洗发水,?68.04,15人付款
13,广西巴马洗发水,晶晶珍珠牛角梳,广西北海,茶麸洗发水老传统茶麸+中草药手工熬制去屑止痒控油防脱养发护发,?50.91,3人付款
14,广西巴马洗发水,巴马瑶方植物洗发水,广西南宁,广西巴马草本生姜茶麸原浆防断发何首乌灵芝护发防白洗发水,?117,4人付款
15,广西巴马洗发水,巴马瑶方植物洗发水,广西南宁,广西巴马茶麸原浆控油蓬松清洁去屑止痒修复毛躁滋润护发洗发水,?56.2,2人付款
16,广西巴马洗发水,9年老店唯涵00的小店35,北京,广西巴马手工原浆洗发水茶麸洗发露生姜洗头膏草本控油去屑止痒,?5.9,1人付款
17,广西巴马洗发水,红斌全球买,福建福州,广西巴马草本生姜茶麸原浆防断何首乌去屑止痒防白柔顺洗发水,?58,2人付款
18,广西巴马洗发水,国美黑发护发美发,广西北海,巴马茶麸洗发水老传统茶麸+中草药手工熬制去屑止痒控油防脱,?53,2人付款
19,广西巴马洗发水,万肤堂药业,江西吉安,正品广西巴马草本生姜茶麸纯手工植物控油蓬松柔顺养发原浆洗发水,?53.7,6人付款
21,广西巴马洗发水,芳华喜子,广西钦州,广西巴马生姜植物洗发水防脱育发强根健发控油止痒预防掉发无硅油,?49.5,1人付款
22,广西巴马洗发水,巴马瑶方植物洗发水,广西南宁,广西巴马草本植物洗发水防脱掉发去屑止痒修复毛躁滋润护发洗发水,?58.2,3人付款
