商品标题,价格（元）,单位,产地,供应商,茬数,高度,成交金额,标签
黄韭盆景,48.00,元/箱,南宫市,南宫市韭菜基地,未知茬数,未知高度,900,无标签
《云南韭黄》,260.00,元/箱,弥勒市,云南香椿,未知茬数,未知高度,0,无标签
（精品）久星20厂家直销，新品种，航天育种，极耐弱光，,280.00,元/袋,叶县,久星韭菜种子店,未知茬数,未知高度,520,无标签
久星15号:(精品)不休眠，茎白长，直立性强，茎白长,130.00,元/袋,叶县,久星韭菜种子店,未知茬数,未知高度,130,无标签
深州特产黄韭盆景室内客厅阳台无土栽培有机蔬菜,48.00,元/件,深州市,果贝康果蔬,未知茬数,未知高度,0,无标签
富冠韭黄种子韭菜籽四季农家宽叶大叶窄叶韭黄菜种籽耐热耐寒,20.00,元/袋,青县,小胡商贸行,未知茬数,未知高度,708,无标签
头茬 30~40公分,1.50,元/斤,丰县,沛县永跃蔬菜收购农民专业合作社,头茬,30~40公分,0,无标签
苏北地区,1.50,元/斤,沛县,沛县永跃蔬菜收购农民专业合作社,未知茬数,未知高度,0,无标签
地窖黄金韭大量供应中！,3.00,元/斤,丰县,永跃蔬菜购销中心,未知茬数,未知高度,0,无标签
苏北地区地窖大量供应中！,3.00,元/斤,沛县,永跃蔬菜购销中心,未知茬数,未知高度,0,无标签
查无信息,3.20,元/斤,射洪市,顾中春的店,未知茬数,未知高度,0,无标签
韭菜，，种植基地300亩,6.00,元/斤,曲靖,小范精品韭菜韭黄,未知茬数,未知高度,0,无标签
黄金韭 头茬 40~50cm,5.00,元/斤,丰县,沣旭昌茂,头茬,40~50cm,0,无标签
黄韭盆景 盆栽黄韭盆景,68.00,元/箱,南宫市,南宫永前韭菜基地,未知茬数,未知高度,609,无标签
新式南宫基地直供黄韭盆景  支持一件代发,45.00,元/箱,南宫市,南宫永前韭菜基地,未知茬数,未知高度,0,无标签
产地直发，优质新鲜，欢迎各位老板长期合作,8.50,元/斤,弥勒市,飞飞生鲜果蔬,未知茬数,未知高度,0,无标签
500亩基地直批,3.50,元/斤,清镇市,丽景香园生态农业,未知茬数,未知高度,0,无标签
精装-快件净重48斤,260.00,元/箱,清镇市,丽景香园生态农业,未知茬数,未知高度,0,无标签
久星20号种子（基地渠道）,390.00,元/斤,清镇市,丽景香园生态农业,未知茬数,未知高度,0,无标签
回春韭芽,6.00,元/斤,清镇市,丽景香园生态农业,未知茬数,未知高度,0,无标签
全年有货,6.00,元/斤,弥勒市,红河盈满进出口贸易有限责任公司,未知茬数,未知高度,0,无标签
广东蔬菜,2.00,元/斤,广州,王毅的农户店,未知茬数,未知高度,0,无标签
长年供应商，鲜香翠嫩，优质。,7.80,元/斤,成都,鲜氏家庭农场,未知茬数,未知高度,0,无标签
