编号,标题,标签,作者,总评论数,阅读量,发布时间,作者头像URL,头像本地路径
1,Latest Fedora 36 Wallpaper: Request for Feedback!,"mindshare, design-team",Máirín Duffy,19,2955,"March 29, 2022",https://discussion.fedoraproject.org/user_avatar/discussion.fedoraproject.org/duffy/25/370_2.png,
2,Fedora Linux 42 Beta is here (the announcement comments topic!),releases,Matthew Miller,18,2940,"April 17, 2025",https://discussion.fedoraproject.org/user_avatar/discussion.fedoraproject.org/mattdm/25/2450_2.png,
3,F40 Change Proposal: KDE Plasma 6 (System Wide),"fesco, f40",Neal Gompa,132,10761,"April 15, 2024",https://discussion.fedoraproject.org/user_avatar/discussion.fedoraproject.org/ngompa/25/22_2.png,
4,Finally made the switch,"social, introductions",bifutake,17,740,"September 5, 2025",https://discussion.fedoraproject.org/user_avatar/discussion.fedoraproject.org/bifutake/25/43828_2.png,
5,Council Policy Proposal: Policy on AI-Assisted Contributions,council,Jason Brooks,226,6441,"October 22, 2025",https://discussion.fedoraproject.org/user_avatar/discussion.fedoraproject.org/jasonbrooks/25/1803_2.png,
6,I am ok with Fedora Atomic brand now,"silverblue-team, kinoite-team, marketing-team",Joseph Gayoso,75,3500,"February 1, 2024",https://discussion.fedoraproject.org/user_avatar/discussion.fedoraproject.org/joseph/25/5437_2.png,
7,Future of Encryption in Fedora desktop variants,"silverblue-team, kinoite-team, workstation-wg",Owen Taylor,81,10301,"August 31, 2025",https://discussion.fedoraproject.org/user_avatar/discussion.fedoraproject.org/otaylor/25/540_2.png,
8,Hello! Landed to Fedora Workstation 41 from Debian 12 (Bookworm) 2 days ago,introductions,Cloud Master,41,2449,"May 8, 2025",https://discussion.fedoraproject.org/user_avatar/discussion.fedoraproject.org/cloudmaster/25/42830_2.png,
9,Annual Fedora Community Survey,mindshare,Ramya Parimi,14,1184,"June 30, 2021",https://avatars.discourse-cdn.com/v4/letter/r/eb7434/25.png,
10,[Fedora KDE] Plasma 6.5.0,"package-maintainers, kde-team",Steve Cossette,25,4965,"November 2, 2025",https://discussion.fedoraproject.org/user_avatar/discussion.fedoraproject.org/farchord/25/29575_2.png,
11,F44 Change Proposal: Drop i686 support (system wide),"fesco, f44",Fabio Valentini,397,22147,"June 28, 2025",https://discussion.fedoraproject.org/user_avatar/discussion.fedoraproject.org/decathorpe/25/29651_2.png,
12,Encrypted Fedora Install - Most Seamless Experience I've Seen Yet,silverblue-team,Alan Diggs,9,2297,"July 8, 2023",https://discussion.fedoraproject.org/user_avatar/discussion.fedoraproject.org/schykle/25/42380_2.png,
13,Should Fedora Spins be rebranded to Fedora Desktops?,"mindshare, council, marketing-team",Joseph Gayoso,40,1969,"May 10, 2024",https://discussion.fedoraproject.org/user_avatar/discussion.fedoraproject.org/joseph/25/5437_2.png,
14,Fedora datacenter move later this year (2025 version),,Michal Konečný,10,640,"April 23, 2025",https://discussion.fedoraproject.org/user_avatar/discussion.fedoraproject.org/zlopez/25/527_2.png,
15,F40 Change Proposal: Wifi MAC Randomization (System Wide),"fesco, f40",Till Maas,72,7058,"May 11, 2024",https://discussion.fedoraproject.org/user_avatar/discussion.fedoraproject.org/till/25/358_2.png,
16,What brought you to fedora?,"social, introductions",Basil Cat,171,8148,"November 25, 2025",https://avatars.discourse-cdn.com/v4/letter/b/aad0ee/25.png,
17,Initial Fedora COSMIC Atomic image ready for testing,atomic-desktops-team,Timothée Ravier,45,2701,"May 1, 2025",https://discussion.fedoraproject.org/user_avatar/discussion.fedoraproject.org/siosm/25/79_2.png,
18,Developing applications using Flatpak-packaged editors/IDEs,silverblue-team,Tadej Janež,31,15958,"March 16, 2021",https://discussion.fedoraproject.org/user_avatar/discussion.fedoraproject.org/tadej/25/129_2.png,
19,NVIDIA Auto Installer for Fedora now works with Fedora 34,"f34, howto, nvidia",আকাশদীপ ধর,58,37096,"November 6, 2021",https://discussion.fedoraproject.org/user_avatar/discussion.fedoraproject.org/t0xic0der/25/1647_2.png,
20,Introduce yourself! (2023 Q3),"social, introductions",Sampson Fung,15,1191,"October 11, 2023",https://discussion.fedoraproject.org/user_avatar/discussion.fedoraproject.org/sampsonf/25/308_2.png,
21,Hello community!,introductions,Francisco Torres,15,650,"June 21, 2024",https://discussion.fedoraproject.org/user_avatar/discussion.fedoraproject.org/franute/25/5186_2.png,
22,Making Music on Fedora – Interest in (resuscitating) a SIG?,jam-team,Nils Philippsen,72,2981,"July 12, 2024",https://discussion.fedoraproject.org/user_avatar/discussion.fedoraproject.org/nphilipp/25/2522_2.png,
23,LLM-generated/-assisted articles on Fedora Magazine,magazine-team,Sheogorath,81,1373,"July 21, 2025",https://discussion.fedoraproject.org/user_avatar/discussion.fedoraproject.org/sheogorath/25/64_2.png,
24,Objective Review: Immutable variants are the majority of Fedora Linux in use,"silverblue-team, kinoite-team, coreos-wg, council, strategy2028",Matthew Miller,24,7384,"April 21, 2023",https://discussion.fedoraproject.org/user_avatar/discussion.fedoraproject.org/mattdm/25/2450_2.png,
25,"Please, improve the S0ix experience under Linux",workstation-wg,Mateus Rodrigues Costa,42,17318,"March 2, 2024",https://discussion.fedoraproject.org/user_avatar/discussion.fedoraproject.org/mateusrodcosta/25/47783_2.png,
26,"Security enthusiasts wanted: from beginners up to SELinux experts to make up the SELinux ""Confined Users (SIG)"" to foster Fedora's security capabilities","confined-users, security-sig",Chris,62,4514,"April 11, 2024",https://discussion.fedoraproject.org/user_avatar/discussion.fedoraproject.org/py0xc3/25/3378_2.png,
27,Introduce yourself! (2023 Q1),"social, introductions",Sampson Fung,68,4150,"May 6, 2023",https://discussion.fedoraproject.org/user_avatar/discussion.fedoraproject.org/sampsonf/25/308_2.png,
28,Fedora Slimbook,"mindshare, engineering, workstation-wg",Slimbook Team,35,5134,"October 20, 2023",https://discussion.fedoraproject.org/user_avatar/discussion.fedoraproject.org/slimbookteam/25/28946_2.png,
29,Fedora in Fediverse,mindshare,Jiri Eischmann,24,6085,"October 20, 2025",https://discussion.fedoraproject.org/user_avatar/discussion.fedoraproject.org/eischmann/25/347_2.png,
30,Fedora Strategy 2028: February/March Planning Work and Roadmap 'til Flock,"mindshare, council, engineering, strategy2028",Matthew Miller,41,7706,"August 3, 2023",https://discussion.fedoraproject.org/user_avatar/discussion.fedoraproject.org/mattdm/25/2450_2.png,
31,Pets of Fedora!,"social, pets",Matthew Miller,25,3087,"September 22, 2023",https://discussion.fedoraproject.org/user_avatar/discussion.fedoraproject.org/mattdm/25/2450_2.png,
32,Lenovo-Fedora world domination plan,marketing-team,Joseph Gayoso,61,6221,"August 22, 2024",https://discussion.fedoraproject.org/user_avatar/discussion.fedoraproject.org/joseph/25/5437_2.png,
33,"Cannot open access to console, the root account is locked in emergency mode (dracut emergency shell)","dracut, root, howto",Night Romantic,22,175097,"March 11, 2023",https://discussion.fedoraproject.org/user_avatar/discussion.fedoraproject.org/nightromantic/25/960_2.png,
34,Magical Experimental Fedora Badges Topic!,,Matthew Miller,366,7482,"November 16, 2025",https://discussion.fedoraproject.org/user_avatar/discussion.fedoraproject.org/mattdm/25/2450_2.png,
35,Fedora Strategy 2028: April 2024 Update,"council, strategy2028",Matthew Miller,9,1364,"July 9, 2024",https://discussion.fedoraproject.org/user_avatar/discussion.fedoraproject.org/mattdm/25/2450_2.png,
36,[HowTo] Jitsi Videoconference Server on Fedora,,Christopher Engelhard,10,3955,"August 8, 2023",https://avatars.discourse-cdn.com/v4/letter/l/51a2da/25.png,
37,Fedora 2025 strategy: accessiblity improvements in support of our vision?,"mindshare, council, dei-team, strategy2028",Matthew Miller,18,1627,"March 22, 2023",https://discussion.fedoraproject.org/user_avatar/discussion.fedoraproject.org/mattdm/25/2450_2.png,
38,The Future of Bugzilla in Fedora,"council, engineering, quality-team",Matthew Miller,13,1876,"September 18, 2024",https://discussion.fedoraproject.org/user_avatar/discussion.fedoraproject.org/mattdm/25/2450_2.png,
39,Fedora 41 EOL: whoops,"engineering, program-management-team, fesco, quality-team, release-engineering-team",Adam Williamson,27,727,"December 10, 2025",https://discussion.fedoraproject.org/user_avatar/discussion.fedoraproject.org/adamwill/25/377_2.png,
40,[How-to] Increasing performance by changing CPU governor and reducing swappiness,"performance, desktop",আকাশদীপ ধর,36,34917,"September 9, 2024",https://discussion.fedoraproject.org/user_avatar/discussion.fedoraproject.org/t0xic0der/25/1647_2.png,
41,Criteria for making Fedora Atomic the default desktop experience,"silverblue-team, kinoite-team, engineering, fesco, workstation-wg",Joseph Gayoso,49,5239,"May 13, 2024",https://discussion.fedoraproject.org/user_avatar/discussion.fedoraproject.org/joseph/25/5437_2.png,
42,Introduction to the community,introductions,Gary Scarborough,21,781,"May 15, 2022",https://avatars.discourse-cdn.com/v4/letter/g/eb7434/25.png,
43,Fedora Moves towards Forgejo,"council, git-forge-future",Aoife Moloney,18,2647,"December 20, 2024",https://discussion.fedoraproject.org/user_avatar/discussion.fedoraproject.org/amoloney/25/1725_2.png,
