编号,标题,标签,作者,总评论数,阅读量,发布时间
1,Latest Fedora 36 Wallpaper: Request for Feedback!,"mindshare, design-team",Máirín Duffy,19,2953,"March 29, 2022"
2,Fedora Linux 42 Beta is here (the announcement comments topic!),releases,Matthew Miller,18,2940,"April 17, 2025"
3,F40 Change Proposal: KDE Plasma 6 (System Wide),"fesco, f40",Neal Gompa,132,10758,"April 15, 2024"
4,Finally made the switch,"social, introductions",bifutake,17,740,"September 5, 2025"
5,Council Policy Proposal: Policy on AI-Assisted Contributions,council,Jason Brooks,226,6438,"October 22, 2025"
6,I am ok with Fedora Atomic brand now,"silverblue-team, kinoite-team, marketing-team",Joseph Gayoso,75,3500,"February 1, 2024"
7,Future of Encryption in Fedora desktop variants,"silverblue-team, kinoite-team, workstation-wg",Owen Taylor,81,10301,"August 31, 2025"
8,Hello! Landed to Fedora Workstation 41 from Debian 12 (Bookworm) 2 days ago,introductions,Cloud Master,41,2445,"May 8, 2025"
9,Annual Fedora Community Survey,mindshare,Ramya Parimi,14,1184,"June 30, 2021"
10,[Fedora KDE] Plasma 6.5.0,"package-maintainers, kde-team",Steve Cossette,25,4962,"November 2, 2025"
11,F44 Change Proposal: Drop i686 support (system wide),"fesco, f44",Fabio Valentini,397,22142,"June 28, 2025"
12,Encrypted Fedora Install - Most Seamless Experience I've Seen Yet,silverblue-team,Alan Diggs,9,2297,"July 8, 2023"
13,Should Fedora Spins be rebranded to Fedora Desktops?,"mindshare, council, marketing-team",Joseph Gayoso,40,1968,"May 10, 2024"
14,Fedora datacenter move later this year (2025 version),,Michal Konečný,10,640,"April 23, 2025"
15,F40 Change Proposal: Wifi MAC Randomization (System Wide),"fesco, f40",Till Maas,72,7056,"May 11, 2024"
16,What brought you to fedora?,"social, introductions",Basil Cat,171,8148,"November 25, 2025"
17,Initial Fedora COSMIC Atomic image ready for testing,atomic-desktops-team,Timothée Ravier,45,2696,"May 1, 2025"
18,Developing applications using Flatpak-packaged editors/IDEs,silverblue-team,Tadej Janež,31,15958,"March 16, 2021"
19,NVIDIA Auto Installer for Fedora now works with Fedora 34,"f34, howto, nvidia",আকাশদীপ ধর,58,37096,"November 6, 2021"
20,Introduce yourself! (2023 Q3),"social, introductions",Sampson Fung,15,1191,"October 11, 2023"
21,Hello community!,introductions,Francisco Torres,15,650,"June 21, 2024"
22,Making Music on Fedora – Interest in (resuscitating) a SIG?,jam-team,Nils Philippsen,72,2981,"July 12, 2024"
23,LLM-generated/-assisted articles on Fedora Magazine,magazine-team,Sheogorath,81,1373,"July 21, 2025"
24,Objective Review: Immutable variants are the majority of Fedora Linux in use,"silverblue-team, kinoite-team, coreos-wg, council, strategy2028",Matthew Miller,24,7382,"April 21, 2023"
25,"Please, improve the S0ix experience under Linux",workstation-wg,Mateus Rodrigues Costa,42,17314,"March 2, 2024"
26,"Security enthusiasts wanted: from beginners up to SELinux experts to make up the SELinux ""Confined Users (SIG)"" to foster Fedora's security capabilities","confined-users, security-sig",Chris,62,4514,"April 11, 2024"
27,Introduce yourself! (2023 Q1),"social, introductions",Sampson Fung,68,4149,"May 6, 2023"
28,Fedora Slimbook,"mindshare, engineering, workstation-wg",Slimbook Team,35,5134,"October 20, 2023"
29,Fedora in Fediverse,mindshare,Jiri Eischmann,24,6085,"October 20, 2025"
30,Fedora Strategy 2028: February/March Planning Work and Roadmap 'til Flock,"mindshare, council, engineering, strategy2028",Matthew Miller,41,7705,"August 3, 2023"
31,Pets of Fedora!,"social, pets",Matthew Miller,25,3086,"September 22, 2023"
32,Lenovo-Fedora world domination plan,marketing-team,Joseph Gayoso,61,6220,"August 22, 2024"
33,"Cannot open access to console, the root account is locked in emergency mode (dracut emergency shell)","dracut, root, howto",Night Romantic,22,175077,"March 11, 2023"
34,Magical Experimental Fedora Badges Topic!,,Matthew Miller,366,7482,"November 16, 2025"
35,Fedora Strategy 2028: April 2024 Update,"council, strategy2028",Matthew Miller,9,1364,"July 9, 2024"
36,[HowTo] Jitsi Videoconference Server on Fedora,,Christopher Engelhard,10,3955,"August 8, 2023"
37,Fedora 2025 strategy: accessiblity improvements in support of our vision?,"mindshare, council, dei-team, strategy2028",Matthew Miller,18,1627,"March 22, 2023"
38,The Future of Bugzilla in Fedora,"council, engineering, quality-team",Matthew Miller,13,1876,"September 18, 2024"
