编号,标题,标题详情URL,标签,作者,总评论数,阅读量,发布时间,作者头像URL
1,How do you feel about the new design of start.fedoraproject.org page?,https://discussion.fedoraproject.org/t/how-do-you-feel-about-the-new-design-of-start-fedoraproject-org-page/28689,websites-and-apps-team,Abdelghani,23,2745,2023 年9 月 6 日,https://discussion.fedoraproject.org/user_avatar/discussion.fedoraproject.org/abesu/25/2402_2.png
2,Latest Fedora 36 Wallpaper: Request for Feedback!,https://discussion.fedoraproject.org/t/latest-fedora-36-wallpaper-request-for-feedback/37789,"mindshare, design-team",Máirín Duffy,19,2961,2022 年3 月 29 日,https://discussion.fedoraproject.org/user_avatar/discussion.fedoraproject.org/duffy/25/370_2.png
3,Fedora Linux 42 Beta is here (the announcement comments topic!),https://discussion.fedoraproject.org/t/fedora-linux-42-beta-is-here-the-announcement-comments-topic/147247,releases,Matthew Miller,18,2945,2025 年4 月 17 日,https://discussion.fedoraproject.org/user_avatar/discussion.fedoraproject.org/mattdm/25/2450_2.png
4,F40 Change Proposal: KDE Plasma 6 (System Wide),https://discussion.fedoraproject.org/t/f40-change-proposal-kde-plasma-6-system-wide/89794,"fesco, f40",Neal Gompa,132,10763,2024 年4 月 15 日,https://discussion.fedoraproject.org/user_avatar/discussion.fedoraproject.org/ngompa/25/22_2.png
5,Finally made the switch,https://discussion.fedoraproject.org/t/finally-made-the-switch/146518,"social, introductions",bifutake,17,740,2025 年9 月 5 日,https://discussion.fedoraproject.org/user_avatar/discussion.fedoraproject.org/bifutake/25/43828_2.png
6,I am ok with Fedora Atomic brand now,https://discussion.fedoraproject.org/t/i-am-ok-with-fedora-atomic-brand-now/86235,"silverblue-team, kinoite-team, marketing-team",Joseph Gayoso,75,3508,2024 年2 月 1 日,https://discussion.fedoraproject.org/user_avatar/discussion.fedoraproject.org/joseph/25/5437_2.png
7,Future of Encryption in Fedora desktop variants,https://discussion.fedoraproject.org/t/future-of-encryption-in-fedora-desktop-variants/80397,"silverblue-team, kinoite-team, workstation-wg",Owen Taylor,81,10316,2025 年8 月 31 日,https://discussion.fedoraproject.org/user_avatar/discussion.fedoraproject.org/otaylor/25/540_2.png
8,Hello! Landed to Fedora Workstation 41 from Debian 12 (Bookworm) 2 days ago,https://discussion.fedoraproject.org/t/hello-landed-to-fedora-workstation-41-from-debian-12-bookworm-2-days-ago/141577,introductions,Cloud Master,41,2471,2025 年5 月 8 日,https://discussion.fedoraproject.org/user_avatar/discussion.fedoraproject.org/cloudmaster/25/42830_2.png
9,Annual Fedora Community Survey,https://discussion.fedoraproject.org/t/annual-fedora-community-survey/30354,mindshare,Ramya Parimi,14,1184,2021 年6 月 30 日,https://avatars.discourse-cdn.com/v4/letter/r/eb7434/25.png
10,[Fedora KDE] Plasma 6.5.0,https://discussion.fedoraproject.org/t/fedora-kde-plasma-6-5-0/169599,"package-maintainers, kde-team",Steve Cossette,25,5006,2025 年11 月 2 日,https://discussion.fedoraproject.org/user_avatar/discussion.fedoraproject.org/farchord/25/29575_2.png
11,F44 Change Proposal: Drop i686 support (system wide),https://discussion.fedoraproject.org/t/f44-change-proposal-drop-i686-support-system-wide/156324,"fesco, f44",Fabio Valentini,397,22238,2025 年6 月 28 日,https://discussion.fedoraproject.org/user_avatar/discussion.fedoraproject.org/decathorpe/25/29651_2.png
12,Encrypted Fedora Install - Most Seamless Experience I've Seen Yet,https://discussion.fedoraproject.org/t/encrypted-fedora-install-most-seamless-experience-ive-seen-yet/36201,silverblue-team,Alan Diggs,9,2298,2023 年7 月 8 日,https://discussion.fedoraproject.org/user_avatar/discussion.fedoraproject.org/schykle/25/42380_2.png
13,Should Fedora Spins be rebranded to Fedora Desktops?,https://discussion.fedoraproject.org/t/should-fedora-spins-be-rebranded-to-fedora-desktops/113366,"mindshare, council, marketing-team",Joseph Gayoso,40,1974,2024 年5 月 10 日,https://discussion.fedoraproject.org/user_avatar/discussion.fedoraproject.org/joseph/25/5437_2.png
14,Fedora datacenter move later this year (2025 version),https://discussion.fedoraproject.org/t/fedora-datacenter-move-later-this-year-2025-version/143142,,Michal Konečný,10,640,2025 年4 月 23 日,https://discussion.fedoraproject.org/user_avatar/discussion.fedoraproject.org/zlopez/25/527_2.png
15,F40 Change Proposal: Wifi MAC Randomization (System Wide),https://discussion.fedoraproject.org/t/f40-change-proposal-wifi-mac-randomization-system-wide/99856,"fesco, f40",Till Maas,72,7083,2024 年5 月 11 日,https://discussion.fedoraproject.org/user_avatar/discussion.fedoraproject.org/till/25/358_2.png
