年份,GDP(亿元),人均GDP(元),GDP增长率(%),第一产业(亿元),第二产业(亿元),第三产业(亿元),总人口(万人),城镇人口(万人),乡村人口(万人),出生率(‰),死亡率(‰),自然增长率(‰),就业人员(万人),城镇就业(万人),人均可支配收入(元),人均消费支出(元),食品支出(元),进出口总额(亿元),出口总额(亿元),进口总额(亿元),能源消费(万吨标煤),电力消费(亿千瓦时),城镇化率(%),第一产业占比(%),第二产业占比(%),第三产业占比(%),消费收入比(%),恩格尔系数(%),贸易顺差(亿元)
2016,86924.91,54849.0,106.8,13747.26,29463.58,43713.98,139232.0,81924.0,57308.0,13.57,7.04,6.53,76245.0,42051.0,23821.0,17111.0,5151.0,243386.5,243386.5,104967.2,441492.0,167.2,58.83992185704435,15.815098341775677,33.89543917848175,50.28935894210302,71.83157717979934,30.10344223014435,138419.3
2017,86924.91,60691.0,106.9,13747.26,29463.58,43713.98,140011.0,84343.0,55668.0,12.64,7.06,5.58,76058.0,43208.0,25974.0,18322.0,5374.0,278099.2,278099.2,124789.8,455827.0,180.6,60.240266836177156,15.815098341775677,33.89543917848175,50.28935894210302,70.53977053977054,29.33085907652003,153309.40000000002
2018,86924.91,66726.0,106.8,13747.26,29463.58,43713.98,140541.0,86433.0,54108.0,10.86,7.08,3.78,75782.0,44292.0,28228.0,19853.0,5631.0,305010.1,305010.1,140881.3,471925.0,195.9,61.50020278779857,15.815098341775677,33.89543917848175,50.28935894210302,70.330877143262,28.363471515639954,164128.8
2019,86924.91,71453.0,106.1,13747.26,29463.58,43713.98,141008.0,88426.0,52582.0,10.41,7.09,3.32,75447.0,45249.0,30733.0,21559.0,6084.0,315627.3,315627.3,143253.7,485584.0,205.1,62.709917167820265,15.815098341775677,33.89543917848175,50.28935894210302,70.1493508606384,28.220232849390047,172373.59999999998
2020,86924.91,73338.0,102.3,13747.26,29463.58,43713.98,141212.0,90220.0,50992.0,8.52,7.07,1.45,75064.0,46271.0,32189.0,21210.0,6397.0,322215.2,322215.2,142936.4,496514.0,212.1,63.889754411806365,15.815098341775677,33.89543917848175,50.28935894210302,65.89207493243033,30.16030174446016,179278.80000000002
2021,95859.27,83111.0,108.6,14921.096666666666,33350.99,47587.12333333334,141260.0,91425.0,49835.0,7.52,7.18,0.34,74652.0,46773.0,35128.0,24100.0,7178.0,387391.8,387391.8,173136.6,525027.0,233.4,64.72108169333146,15.604823673647275,34.65081122032773,49.74429608093195,68.60624003643817,29.78423236514523,214255.19999999998
2022,104793.63,87385.0,103.1,16094.933333333334,37238.4,51460.26666666667,141175.0,92071.0,49104.0,6.77,7.37,-0.6,73351.0,45931.0,36883.0,24538.0,7481.0,416727.8,416727.8,180391.0,541274.0,242.1,65.21763768372587,15.394549005518872,35.40618326217372,49.19923321976089,66.52929533931622,30.48740728665743,236336.8
2023,113727.99,91746.0,105.4,17268.77,41125.81,55333.41,140967.0,93267.0,47700.0,6.39,7.87,-1.48,74041.0,47032.0,39218.0,26796.0,7983.0,417510.1,417510.1,179853.7,571327.0,258.6,66.16229330268786,15.18427433739047,36.1615553040197,48.65417035858982,68.325768779642,29.791759964173757,237656.39999999997
2024,120399.41,95677.0,105.0,17828.12,43206.99,59364.3,140828.0,94350.0,46478.0,6.77,7.76,-0.99,73439.0,47345.0,41314.0,28227.0,8411.0,438233.92,438233.92,183790.78,596000.0,258.6,66.99661999034284,14.80748119945106,35.88638017412211,49.30613862642683,68.32308660502493,29.797711411060334,254443.13999999998
2025,120399.41,99665.0,105.0,17828.12,43206.99,59364.3,140489.0,95380.0,45109.0,5.63,8.04,-2.41,72504.0,47535.0,43377.0,29476.0,8631.0,454685.0,454685.0,184795.0,617000.0,258.6,67.89143634021168,14.80748119945106,35.88638017412211,49.30613862642683,67.95306268298869,29.2814493146967,269890.0
