数据库：年度数据 
时间： 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
布依族人口数 (人) 	,	,	,	,	,	,	,	,	,	,	,
朝鲜族人口数 (人) 	,	,	,	,	,	,	,	,	,	,	,
满族人口数 (人) 	,	,	,	,	,	,	,	,	,	,	,
侗族人口数 (人) 	,	,	,	,	,	,	,	,	,	,	,
瑶族人口数 (人) 	,	,	,	,	,	,	,	,	,	,	,
白族人口数 (人) 	,	,	,	,	,	,	,	,	,	,	,
土家族人口数 (人) 	,	,	,	,	,	,	,	,	,	,	,
哈尼族人口数 (人) 	,	,	,	,	,	,	,	,	,	,	,
哈萨克族人口数 (人) 	,	,	,	,	,	,	,	,	,	,	,
傣族人口数 (人) 	,	,	,	,	,	,	,	,	,	,	,
黎族人口数 (人) 	,	,	,	,	,	,	,	,	,	,	,
傈僳族人口数 (人) 	,	,	,	,	,	,	,	,	,	,	,
佤族人口数 (人) 	,	,	,	,	,	,	,	,	,	,	,
畲族人口数 (人) 	,	,	,	,	,	,	,	,	,	,	,
高山族人口数 (人) 	,	,	,	,	,	,	,	,	,	,	,
拉祜族人口数 (人) 	,	,	,	,	,	,	,	,	,	,	,
水族人口数 (人) 	,	,	,	,	,	,	,	,	,	,	,
东乡族人口数 (人) 	,	,	,	,	,	,	,	,	,	,	,
纳西族人口数 (人) 	,	,	,	,	,	,	,	,	,	,	,
景颇族人口数 (人) 	,	,	,	,	,	,	,	,	,	,	,
柯尔克孜族人口数 (人) 	,	,	,	,	,	,	,	,	,	,	,
土族人口数 (人) 	,	,	,	,	,	,	,	,	,	,	,
达斡尔族人口数 (人) 	,	,	,	,	,	,	,	,	,	,	,
仫佬族人口数 (人) 	,	,	,	,	,	,	,	,	,	,	,
羌族人口数 (人) 	,	,	,	,	,	,	,	,	,	,	,
布朗族人口数 (人) 	,	,	,	,	,	,	,	,	,	,	,
撒拉族人口数 (人) 	,	,	,	,	,	,	,	,	,	,	,
毛南族人口数 (人) 	,	,	,	,	,	,	,	,	,	,	,
仡佬族人口数 (人) 	,	,	,	,	,	,	,	,	,	,	,
锡伯族人口数 (人) 	,	,	,	,	,	,	,	,	,	,	,
阿昌族人口数 (人) 	,	,	,	,	,	,	,	,	,	,	,
普米族人口数 (人) 	,	,	,	,	,	,	,	,	,	,	,
塔吉克族人口数 (人) 	,	,	,	,	,	,	,	,	,	,	,
怒族人口数 (人) 	,	,	,	,	,	,	,	,	,	,	,
乌孜别克族人口数 (人) 	,	,	,	,	,	,	,	,	,	,	,
俄罗斯族人口数 (人) 	,	,	,	,	,	,	,	,	,	,	,
鄂温克族人口数 (人) 	,	,	,	,	,	,	,	,	,	,	,
德昂族人口数 (人) 	,	,	,	,	,	,	,	,	,	,	,
保安族人口数 (人) 	,	,	,	,	,	,	,	,	,	,	,
裕固族人口数 (人) 	,	,	,	,	,	,	,	,	,	,	,
京族人口数 (人) 	,	,	,	,	,	,	,	,	,	,	,
塔塔尔族人口数 (人) 	,	,	,	,	,	,	,	,	,	,	,
独龙族人口数 (人) 	,	,	,	,	,	,	,	,	,	,	,
鄂伦春族人口数 (人) 	,	,	,	,	,	,	,	,	,	,	,
赫哲族人口数 (人) 	,	,	,	,	,	,	,	,	,	,	,
门巴族人口数 (人) 	,	,	,	,	,	,	,	,	,	,	,
珞巴族人口数 (人) 	,	,	,	,	,	,	,	,	,	,	,
基诺族人口数 (人) 	,	,	,	,	,	,	,	,	,	,	,
民族自治地方国内生产总值 (亿元) 	,	,120399.41	,113727.99	,	,	,86924.91	,	,	,	,	,
民族自治地方第一产业增加值 (亿元) 	,	,17828.12	,17268.77	,	,	,13747.26	,	,	,	,	,
民族自治地方第二产业增加值 (亿元) 	,	,43206.99	,41125.81	,	,	,29463.58	,	,	,	,	,
民族自治地方第三产业增加值 (亿元) 	,	,59364.30	,55333.41	,	,	,43713.98	,	,	,	,	,
民族自治地方人均地区生产总值 (元) 	,	,66497.20	,62833.00	,	,	,47530.88	,	,	,	,	,
民族自治地方全社会固定资产投资总额 (亿元) 	,	,	,	,	,	,	,	,	,	,	,
民族自治地方国有单位固定资产投资额 (亿元) 	,	,	,	,	,	,	,	,	,	,	,
民族自治地方财政收入 (亿元) 	,	,10447.90	,9956.24	,	,	,7729.81	,	,	,	,	,
民族自治地方财政支出 (亿元) 	,	,35472.89	,35716.40	,	,	,31255.21	,	,	,	,	,
民族自治地方耕地面积 (万公顷) 	,	,	,	,	,	,	,	,	,	,	,
民族自治地方灌溉面积 (万公顷) 	,	,	,	,	,	,	,	,	,	,	,
民族自治地方农林牧渔总产值 (亿元) 	,	,30855.08	,30027.75	,	,	,24259.71	,	,	,	,	,
民族自治地方粮食产量 (万吨) 	,	,11975.61	,11647.29	,	,	,10636.82	,	,	,	,	,
民族自治地方棉花产量 (万吨) 	,	,605.23	,511.37	,	,	,516.28	,	,	,	,	,
民族自治地方油料产量 (万吨) 	,	,557.62	,550.93	,	,	,550.23	,	,	,	,	,
民族自治地方大牲畜年底头数 (万头) 	,	,6369.69	,6162.40	,	,	,5212.99	,	,	,	,	,
民族自治地方羊年底头数 (万只) 	,	,15862.32	,16632.52	,	,	,15892.81	,	,	,	,	,
民族自治地方猪年底头数 (万头) 	,	,7619.62	,7369.24	,	,	,6463.29	,	,	,	,	,
民族自治地方工业总产值 (亿元) 	,	,	,	,	,	,	,	,	,	,	,
民族自治地方布产量 (亿米) 	,	,	,	,	,	,	,	,	,	,	,
民族自治地方机制纸及纸板产量 (万吨) 	,	,	,	,	,	,	,	,	,	,	,
民族自治地方成品糖产量 (万吨) 	,	,1129.81	,866.05	,	,	,1024.31	,	,	,	,	,
民族自治地方原煤产量 (亿吨) 	,	,	,	,	,	,	,	,	,	,	,
民族自治地方原油产量 (万吨) 	,	,	,	,	,	,	,	,	,	,	,
