数据库：年度数据 
时间： 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
高等教育专任教师数 (万人) 	,	,	,	,	,	,	,	,	,	,	,
研究生培养机构专任教师数 (万人) 	,	,	,	,	,	,	,	,	,	,	,
普通高校研究生培养机构专任教师数 (万人) 	,	,	,	,	,	,	,	,	,	,	,
科研机构研究生培养机构专任教师数 (万人) 	,	,	,	,	,	,	,	,	,	,	,
普通、职业高等学校专任教师数 (万人) 	,	,215	,206	,196	,187	,183	,174	,167	,163	,160	,
普通本科学校专任教师数 (万人) 	,	,	,135	,132	,127	,128	,123	,117	,115	,113	,
高职 (专科) 学校专任教师数 (万人) 	,	,72	,68	,62	,57	,56	,51	,50	,48	,47	,
职业技术学院专任教师数 (万人) 	,	,	,	,	,	,	,	,	,	,	,
其他机构 (教学点) 专任教师数 (万人) 	,	,	,	,0	,0	,0	,0	,0	,0	,0	,
独立学院专任教师数 (万人) 	,	,6	,6	,6	,6	,12	,12	,12	,12	,12	,
成人高等学校专任教师数 (万人) 	,	,1	,1	,1	,2	,2	,2	,2	,2	,3	,
民办的其他高等教育机构专任教师数 (万人) 	,	,	,	,	,	,1	,1	,1	,1	,1	,
中等教育专任教师数 (万人) 	,	,	,	,	,	,665	,645	,629	,617	,607	,
高中阶段教育专任教师数 (万人) 	,	,303	,295	,285	,272	,279	,270	,265	,262	,258	,
高中专任教师数 (万人) 	,	,	,	,	,	,193	,186	,181	,178	,174	,
普通高中专任教师数 (万人) 	,	,230	,221	,213	,203	,193	,186	,181	,177	,173	,
完全中学高中阶段专任教师数 (万人) 	,	,65	,63	,61	,59	,57	,54	,54	,53	,53	,
高级中学专任教师数 (万人) 	,	,150	,144	,139	,131	,127	,123	,120	,118	,115	,
十二年一贯制学校高中阶段专任教师数 (万人) 	,	,14	,14	,13	,12	,10	,9	,8	,7	,6	,
成人高中专任教师数 (万人) 	,	,	,	,	,	,0	,0	,0	,0	,0	,
中等职业教育专任教师数 (万人) 	,	,73	,73	,72	,70	,86	,84	,83	,84	,84	,
普通中专专任教师数 (万人) 	,	,	,	,	,	,32	,31	,30	,30	,30	,
成人中专专任教师数 (万人) 	,	,	,	,	,	,4	,4	,4	,4	,5	,
