数据库：年度数据 
时间： 
指标	,2025年	,2024年	,2023年	,2022年	,2021年	,2020年	,2019年	,2018年	,2017年	,2016年	,
地级区划数 (个) 	,	,333	,333	,333	,333	,333	,333	,333	,334	,334	,
地级市数 (个) 	,	,293	,293	,293	,293	,293	,293	,293	,294	,293	,
县级区划数 (个) 	,	,2846	,2844	,2843	,2843	,2844	,2846	,2851	,2851	,2851	,
市辖区数 (个) 	,	,977	,977	,977	,977	,973	,965	,970	,962	,954	,
县级市数 (个) 	,	,397	,397	,394	,394	,388	,387	,375	,363	,360	,
县数 (个) 	,	,1301	,1299	,1301	,1301	,1312	,1323	,1335	,1355	,1366	,
自治县数 (个) 	,	,117	,117	,117	,117	,117	,117	,117	,117	,117	,
乡级区划数 (个) 	,	,38712	,38658	,38602	,38558	,38741	,38755	,39945	,39888	,39862	,
镇数 (个) 	,	,21464	,21421	,21389	,21322	,21157	,21013	,21297	,21116	,20883	,
乡数 (个) 	,	,8128	,8190	,8227	,8309	,8809	,9221	,10253	,10529	,10872	,
街道数 (个) 	,	,9118	,9045	,8984	,8925	,8773	,8519	,8393	,8241	,8105	,
粮食人均占有量 (公斤) 	,	,501.43	,492.95	,486.15	,483.48	,474.45	,471.57	,469.00	,473.86	,475.89	,
棉花人均占有量 (公斤) 	,	,4.37	,3.98	,4.23	,4.06	,4.19	,4.18	,4.35	,4.05	,3.85	,
油料人均占有量 (公斤) 	,	,28.24	,27.39	,25.88	,25.58	,25.42	,24.81	,24.48	,24.89	,24.50	,
糖料人均占有量 (公斤) 	,	,	,	,79.57	,81.10	,85.14	,86.44	,85.10	,82.08	,81.06	,
茶叶人均产量 (公斤) 	,	,	,	,	,	,	,1.99	,	,	,1.74	,
水果人均占有量 (公斤) 	,	,	,	,221.62	,212.20	,203.33	,194.64	,183.13	,182.07	,177.02	,
猪牛羊肉人均占有量 (公斤) 	,	,49.70	,50.18	,48.04	,46.08	,37.38	,38.37	,46.41	,46.84	,46.70	,
水产品人均占有量 (公斤) 	,	,52.22	,50.44	,48.60	,47.37	,46.38	,45.96	,45.95	,46.03	,45.82	,
人均原煤产量 (吨) 	,	,3.39	,3.35	,3.23	,2.92	,2.77	,2.73	,2.64	,2.52	,2.46	,
人均原油产量 (公斤) 	,	,151.10	,148.17	,144.97	,140.81	,138.03	,136.12	,134.97	,137.16	,143.89	,
人均纱产量 (公斤) 	,	,16.17	,16.93	,19.26	,20.35	,18.55	,20.08	,21.95	,22.86	,26.90	,
人均布产量 (米) 	,	,21.74	,22.61	,33.12	,35.54	,32.54	,39.44	,49.79	,49.49	,65.34	,
人均机制纸及纸板产量 (公斤) 	,	,112.47	,107.25	,96.95	,96.18	,90.01	,88.90	,85.87	,89.83	,88.77	,
人均水泥产量 (公斤) 	,	,1295.44	,1431.48	,1507.80	,1683.17	,1697.05	,1665.29	,1594.07	,1669.40	,1736.80	,
人均粗钢产量 (公斤) 	,	,713.35	,729.32	,720.84	,732.99	,754.57	,707.10	,662.29	,623.64	,581.94	,
人均发电量 (千瓦小时) 	,	,7159.02	,6703.32	,6266.02	,6042.54	,5512.76	,5330.10	,5108.60	,4730.25	,4419.37	,
第一产业法人单位数 (个) 	,	,1704386	,1747786	,2184048	,1915236	,1827421	,1642773	,1694997	,1670774	,1262764	,
第二产业法人单位数 (个) 	,	,7370881	,6884893	,7612180	,6697618	,5904042	,5063303	,4626235	,4731349	,3953940	,
工业法人单位数 (个) 	,	,	,	,	,	,	,	,	,	,	,
第三产业法人单位数 (个) 	,	,28707021	,26382226	,27373406	,24254118	,21657792	,18574135	,17159814	,15606969	,12974678	,
企业法人单位数 (个) 	,	,33570060	,	,32828734	,28665212	,25055456	,21091270	,	,18097682	,14618448	,
事业法人单位数 (个) 	,	,730647	,	,744326	,741801	,812962	,816429	,	,814716	,821777	,
机关法人单位数 (个) 	,	,228858	,	,225072	,223498	,237879	,237156	,	,255360	,256531	,
社会团体法人单位数 (个) 	,	,297435	,	,350596	,336197	,334242	,308696	,	,299248	,303393	,
其他类型机构法人单位数 (个) 	,	,2955288	,	,3020906	,2900264	,2948716	,2826660	,	,2542086	,2191233	,
法人单位数 (个) 	,	,37782288	,35014905	,37169634	,32866972	,29389255	,25280211	,23481046	,22009092	,18191382	,
农、林、牧、渔业法人单位数 (个) 	,	,1983657	,2019370	,2495358	,2189201	,2090924	,1879887	,1926591	,1926771	,1481473	,
采矿业法人单位数 (个) 	,	,55242	,51605	,88033	,82830	,80683	,70983	,70191	,108900	,104074	,
制造业法人单位数 (个) 	,	,4240805	,4047228	,4529585	,4167767	,3846747	,3463346	,3269606	,3483617	,3019269	,
电力、热力、燃气及水生产和供应业法人单位数 (个) 	,	,162100	,135796	,153266	,133875	,123729	,113649	,110714	,120736	,99469	,
建筑业法人单位数 (个) 	,	,2987290	,2722407	,2901293	,2367010	,1901819	,1458539	,1218463	,1045232	,754512	,
批发和零售业法人单位数 (个) 	,	,11172734	,10197183	,10881533	,9575504	,8415106	,7155907	,6499161	,6252424	,5041698	,
交通运输、仓储和邮政业法人单位数 (个) 	,	,986096	,939056	,973096	,858447	,748046	,629631	,577233	,540994	,443325	,
住宿和餐饮业法人单位数 (个) 	,	,759803	,711948	,669628	,583028	,514980	,449277	,431323	,378974	,317619	,
信息传输、软件和信息技术服务业法人单位数 (个) 	,	,986096	,1695873	,1747117	,1488072	,1285534	,1047408	,919879	,719150	,507674	,
金融业法人单位数 (个) 	,	,113339	,107575	,159901	,149813	,142488	,131744	,137934	,135068	,122516	,
房地产业法人单位数 (个) 	,	,1060133	,1042264	,1115183	,1038260	,933969	,811663	,744924	,642893	,533557	,
租赁和商务服务业法人单位数 (个) 	,	,1060133	,4609109	,4432416	,3876456	,3394995	,2825375	,2551306	,2242096	,1768005	,
