学号,性别,民族,省份,语文,外语,数学
1181020200001 ,女,汉族,海南省,240,236,220
1181020200002 ,男,汉族,海南省,223,218,227
1181020200003 ,男,汉族,海南省,193,210,252
1181020200004 ,女,汉族,海南省,213,209,236
1181020200005 ,男,汉族,海南省,213,196,238
1181020200006 ,女,汉族,海南省,226,215,192
1181020200007 ,男,汉族,海南省,213,196,215
1181020200008 ,女,汉族,海南省,230,226,189
1181020200009 ,女,黎族,海南省,205,201,187
1181020200010 ,女,汉族,海南省,217,200,204
1181020200011 ,女,汉族,海南省,215,201,216
1181020200012 ,男,汉族,海南省,211,187,229
1181020200013 ,女,汉族,海南省,211,207,197
1181020200014 ,女,黎族,海南省,221,203,200
1181020200015 ,女,汉族,海南省,228,214,209
1181020200016 ,女,汉族,海南省,215,205,188
1181020200017 ,男,汉族,海南省,213,219,208
1181020200018 ,女,汉族,海南省,228,197,214
1181020200019 ,女,汉族,海南省,213,205,214
1181020200020 ,男,黎族,海南省,207,202,224
1181020200021 ,男,黎族,海南省,185,190,216
1181020200022 ,女,汉族,海南省,219,206,224
1181020200023 ,女,汉族,海南省,193,206,205
1181020200024 ,男,汉族,海南省,211,188,201
1181020200025 ,男,汉族,海南省,215,202,207
1181020200026 ,女,汉族,海南省,205,194,207
1181020200027 ,男,汉族,海南省,195,208,212
1181020200028 ,男,汉族,海南省,207,206,222
1181020200029 ,男,汉族,海南省,217,187,194
1181020200030 ,男,汉族,海南省,195,198,202
1181020200031 ,男,汉族,海南省,211,190,183
1181020200032 ,女,汉族,海南省,203,223,216
1181020200033 ,女,汉族,海南省,223,199,204
1181020200034 ,女,汉族,海南省,193,215,192
1181020200035 ,女,汉族,海南省,199,195,212
1181020200036 ,女,汉族,海南省,197,203,216
1181020200037 ,女,汉族,海南省,215,210,197
1181020200038 ,女,黎族,海南省,211,200,195
1181020200039 ,男,汉族,海南省,217,172,224
1181020200040 ,女,汉族,海南省,213,212,188
1181020200041 ,女,汉族,海南省,193,199,191
1181020200042 ,女,黎族,海南省,226,202,187
1181020200043 ,女,汉族,海南省,213,194,197
1181020200044 ,女,黎族,海南省,195,194,188
1181020200045 ,女,汉族,海南省,215,188,213
1181020200046 ,男,汉族,海南省,199,198,204
1181020200047 ,女,汉族,海南省,179,203,195
1181020200048 ,女,汉族,海南省,217,198,206
1181020200049 ,女,汉族,海南省,165,200,189
1181020200050 ,女,汉族,海南省,217,196,188
1181020200051 ,男,汉族,海南省,213,175,193
1181020200052 ,男,汉族,海南省,207,181,212
1181020200053 ,男,汉族,海南省,221,174,218
1181020200054 ,女,汉族,海南省,215,212,203
1181020200055 ,女,汉族,海南省,195,181,225
1181020200056 ,女,汉族,海南省,207,186,204
1181020200057 ,女,汉族,海南省,213,209,190
1181020200058 ,女,汉族,海南省,217,205,197
1181020200059 ,男,汉族,海南省,199,200,206
1181020200060 ,男,汉族,海南省,209,193,200
1181020200061 ,女,汉族,海南省,219,198,179
1181020200062 ,女,汉族,海南省,201,187,195
1181020200063 ,男,汉族,海南省,211,210,203
1181020200064 ,男,汉族,海南省,203,194,208
1181020200065 ,女,汉族,海南省,176,202,212
1181020200066 ,男,汉族,海南省,221,165,211
1181020200067 ,男,汉族,海南省,197,177,198
1181020200068 ,女,汉族,海南省,197,190,187
1181020200069 ,女,汉族,海南省,189,202,207
1181020200070 ,女,汉族,海南省,213,196,188
1181020200071 ,男,汉族,海南省,161,164,231
1181020200072 ,女,汉族,海南省,189,212,188
1181020200073 ,女,汉族,海南省,199,197,195
1181020200074 ,女,汉族,海南省,199,203,213
1181020200075 ,女,汉族,海南省,217,182,195
1181020200076 ,女,汉族,海南省,213,192,184
1181020200077 ,男,汉族,海南省,176,188,205
1181020200078 ,女,汉族,海南省,211,191,195
1181020200079 ,女,汉族,海南省,197,197,189
1181020200080 ,女,汉族,海南省,201,188,204
1181020200081 ,女,汉族,海南省,183,208,186
1181020200082 ,女,汉族,海南省,215,194,190
1181020200083 ,女,汉族,海南省,193,201,190
1181020200084 ,女,汉族,海南省,230,160,179
1181020200085 ,女,汉族,海南省,197,209,195
1181020200086 ,女,汉族,海南省,183,195,197
1181020200087 ,男,汉族,海南省,203,181,197
1181020200088 ,女,汉族,海南省,181,212,199
1181020200089 ,女,汉族,海南省,183,203,208
1181020200090 ,女,汉族,海南省,203,212,181
1181020200091 ,女,汉族,海南省,209,204,187
1181020200092 ,女,黎族,海南省,215,174,186
1181020200093 ,女,汉族,海南省,170,194,205
1181020200094 ,男,汉族,海南省,189,202,204
1181020200095 ,女,苗族,海南省,195,194,156
1181020200096 ,女,黎族,海南省,215,197,186
1181020200097 ,女,汉族,海南省,172,202,195
1181020200098 ,女,汉族,海南省,223,201,174
1181020200099 ,男,黎族,海南省,201,188,183
1181020200100 ,男,汉族,海南省,179,174,200
1181020200101 ,女,黎族,海南省,191,187,188
1181020200102 ,女,黎族,海南省,189,200,188
1181020200103 ,女,黎族,海南省,157,190,204
1181020200104 ,男,汉族,海南省,185,170,201
1181020200105 ,女,黎族,海南省,159,168,193
1181020200106 ,女,汉族,海南省,185,191,182
1181020200107 ,女,汉族,海南省,195,187,182
1181020200108 ,男,汉族,海南省,191,170,182
1181020200109 ,女,汉族,海南省,179,210,185
1181020200110 ,女,黎族,海南省,189,190,190
1181020200111 ,女,黎族,海南省,168,183,189
1181020200112 ,女,汉族,海南省,191,191,191
1181020200113 ,男,汉族,海南省,201,162,172
1181020200114 ,男,汉族,海南省,176,210,182
1181020200115 ,男,汉族,海南省,165,192,186
