"churn","tenure","monthly_charges","total_charges","contract_type"
"Yes",60,144.6,9163.4,"Month-to-month"
"No",24,76.5,1786.6,"Month-to-month"
"No",49,93.9,4354.8,"One year"
"No",51,59.3,3171.4,"Month-to-month"
"Yes",33,130.2,4544,"Two year"
"Yes",51,25.3,1242.4,"Two year"
"No",31,70.8,2197.6,"Month-to-month"
"No",23,79.7,1918,"Month-to-month"
"No",63,98.9,6837.9,"Two year"
"Yes",9,131.2,1152.5,"One year"
"No",65,27.5,1681.6,"Month-to-month"
"No",69,31.6,2151.9,"Month-to-month"
"Yes",51,92.6,4267.6,"Month-to-month"
"Yes",38,129.2,4786,"Month-to-month"
"No",33,76.7,2764.6,"One year"
"No",61,41.2,2623.8,"Two year"
"No",9,112.3,1004.1,"Month-to-month"
"No",62,83.6,5420.7,"One year"
"Yes",10,36.2,336,"Two year"
"Yes",22,144.2,3317.8,"One year"
"Yes",4,72.7,292.5,"Month-to-month"
"Yes",9,125.6,1073.1,"Month-to-month"
"Yes",49,67.5,3421.2,"Month-to-month"
"No",61,144.4,8580.1,"One year"
"No",58,111.2,6030.1,"Month-to-month"
"No",22,112,2405.4,"One year"
"No",45,49.2,2352.6,"Month-to-month"
"No",59,94.9,5784,"Two year"
"Yes",1,20.7,19.8,"Month-to-month"
"Yes",3,53.1,148.1,"One year"
"Yes",32,114.7,3449.5,"Month-to-month"
"Yes",22,131.4,2946.3,"Two year"
"No",14,62.2,827.3,"Month-to-month"
"No",70,98.9,6881.2,"One year"
"No",49,119.7,5690,"One year"
"No",49,25,1231.4,"Two year"
"Yes",5,111.7,548.3,"Month-to-month"
"No",70,59.7,3901.5,"Month-to-month"
"Yes",3,126.9,343.9,"Month-to-month"
"No",47,89.6,3931.5,"Month-to-month"
"No",63,125.9,7471.6,"Month-to-month"
"No",66,88.3,6235,"Two year"
"No",45,75.7,3287.5,"One year"
"Yes",29,105.6,2893.8,"One year"
"Yes",61,31.7,1826.2,"Month-to-month"
"Yes",33,102.8,3447.2,"One year"
"No",31,47,1318.5,"Month-to-month"
"No",21,34.7,783.7,"Month-to-month"
"No",47,113.1,5163,"Month-to-month"
"Yes",47,102.4,5152.6,"One year"
"Yes",5,86.6,472.3,"Two year"
"No",54,89.7,5237.4,"One year"
"No",33,54.8,1673.7,"Month-to-month"
"Yes",36,137.7,5350.7,"One year"
"Yes",54,27.3,1558.1,"Month-to-month"
"Yes",52,91.1,4395.1,"Month-to-month"
"Yes",2,42.7,90,"One year"
"Yes",15,121.4,1914.4,"One year"
"No",33,78.9,2671.5,"One year"
"Yes",21,128.9,2818.5,"One year"
"Yes",6,117.1,659.9,"One year"
"No",31,89,2910.3,"One year"
"No",27,97.3,2429,"Two year"
"No",46,102.3,4417.1,"Two year"
"Yes",23,138.8,3130,"Month-to-month"
"No",59,30.3,1888.5,"Two year"
"No",64,96.5,6467.1,"Month-to-month"
"No",52,40.7,1957.5,"Two year"
"No",23,114.8,2688.2,"One year"
"No",21,122.6,2811.1,"One year"
"No",47,65.2,3357.8,"Month-to-month"
"No",15,95.9,1550.2,"One year"
"Yes",46,48.3,2195.8,"Month-to-month"
"No",33,21.6,693,"Two year"
"Yes",23,88.3,1909.2,"Month-to-month"
"No",51,65.9,3584.9,"Two year"
"Yes",21,132.3,2519,"One year"
"No",4,42.9,161.2,"Two year"
"Yes",48,149.3,7259.6,"Month-to-month"
"Yes",17,123.6,2225.6,"One year"
"Yes",15,51.9,721,"One year"
"Yes",18,23.6,452.3,"Two year"
"Yes",36,122.6,4248.8,"Month-to-month"
"No",2,71,141.4,"Month-to-month"
"No",50,143.7,7370.7,"Two year"
"Yes",35,110.8,4042.5,"One year"
"Yes",70,64,4158,"One year"
"No",23,87,2176.1,"Month-to-month"
"Yes",9,102.2,891.6,"Month-to-month"
"No",62,102,6328.5,"Two year"
"No",40,118.8,5172.5,"Two year"
"No",66,20.5,1429.5,"Month-to-month"
"No",46,137.7,6652.8,"Two year"
"No",4,131.7,545.6,"Month-to-month"
"No",54,34.2,1753.6,"Two year"
"No",14,138.8,1814.3,"One year"
"No",53,33.2,1707.7,"Month-to-month"
"No",37,113,3821.8,"Month-to-month"
"No",70,92.1,6464.3,"Two year"
"No",42,104.5,4360,"Month-to-month"
"Yes",22,119,2756.4,"Month-to-month"
"No",49,122.8,6521.6,"Two year"
"Yes",17,54.3,952.2,"Month-to-month"
"Yes",39,105.5,4048.1,"One year"
"No",19,68.8,1351.3,"Two year"
"No",60,113.6,6149.7,"Two year"
"Yes",12,131.4,1550.9,"Month-to-month"
"Yes",6,55.1,340.5,"Month-to-month"
"Yes",19,142.8,2667.3,"Month-to-month"
"No",58,126.6,7122.4,"Two year"
"Yes",6,107.5,657.3,"Two year"
"Yes",45,114,4719.5,"One year"
"No",59,79.4,4258,"Month-to-month"
"No",7,72,463.1,"One year"
"No",30,119.2,3888.4,"Month-to-month"
"No",65,147.2,9226.7,"One year"
"No",61,94.3,5617.6,"One year"
"Yes",13,69.7,891.6,"Month-to-month"
"No",36,137.8,5156.8,"Two year"
"No",20,112.4,2232.3,"One year"
"No",68,104.7,7703.8,"Month-to-month"
"Yes",6,79.9,487.9,"Month-to-month"
"No",58,31.8,2019.7,"Two year"
"No",10,30.2,288.3,"Two year"
"Yes",51,27,1311.8,"Month-to-month"
"Yes",2,131.3,279.3,"Two year"
"Yes",41,45,1829.9,"Month-to-month"
"No",59,119.9,7010.7,"Two year"
"No",68,149.8,9264.5,"One year"
"No",72,85.6,5668.7,"Month-to-month"
"No",33,63.8,2148.2,"Month-to-month"
"Yes",2,142.8,311.5,"Month-to-month"
"Yes",3,82.9,247.1,"One year"
"Yes",33,58.7,1763.9,"One year"
"No",55,87,4976.2,"Month-to-month"
"Yes",49,130.7,6875.5,"One year"
"Yes",50,130.7,6624.5,"Month-to-month"
"Yes",8,84.6,625.1,"Month-to-month"
"Yes",2,53.9,97.7,"Month-to-month"
"No",44,65.2,3019.1,"Two year"
"No",63,38.5,2260.1,"Month-to-month"
"No",26,33.5,890.9,"Month-to-month"
"Yes",9,95.3,801.1,"Month-to-month"
"No",34,92.9,3429.5,"One year"
"Yes",45,104.6,4981.2,"Month-to-month"
"No",72,32.2,2418.8,"Month-to-month"
"Yes",39,52.3,1864.4,"One year"
"Yes",20,117.1,2458.6,"Month-to-month"
"Yes",42,149.5,6649.6,"Month-to-month"
"No",28,73.9,2241.6,"Two year"
"No",28,76.6,2332.4,"Two year"
"Yes",32,24,724.2,"Month-to-month"
"No",66,39.9,2520.2,"Month-to-month"
"Yes",14,95.2,1458.5,"One year"
"No",54,118,6285.7,"Month-to-month"
