"purchase","age","income","pages_visited","time_on_site","membership_years"
1,47,74.4,10,24,1.4
1,41,36.7,6,19.4,2.2
1,34,75,9,11.6,2.5
1,32,55.4,5,11.9,6
0,49,110.8,3,11.1,5.8
1,51,34.3,12,6.3,0.8
1,41,15,10,20.6,2.6
1,33,99.2,6,10.5,6.8
1,20,53,10,15.7,2.6
1,22,28.1,15,11.3,4.6
0,18,56.8,4,9.7,7.5
1,41,66.1,10,18.2,4.7
1,45,31.6,7,4.4,1.7
0,39,77.2,11,4.1,1.6
1,18,40.9,8,2,0.1
1,33,33.9,8,1,5.4
1,24,38.2,6,11.6,6.3
1,40,45.4,12,19.3,2.2
0,18,49.2,6,21.8,3.1
1,18,15,6,11.3,0.6
1,49,34.8,10,8.1,2.2
1,39,43.7,13,23.3,1.7
1,48,35.9,6,22.9,2
1,32,15,14,2.9,7.7
1,40,45.8,17,10.6,5.3
1,18,97.1,8,19.9,4.7
1,34,26.6,8,17.4,4.3
1,43,74.7,14,12.7,3.3
1,18,73.3,5,14.7,7.1
1,34,63.3,5,18.2,6.9
1,18,33.6,8,15.4,5.2
1,31,26,7,17.7,3.4
1,29,48.8,16,9.3,6.6
1,49,70.8,8,7.5,0.2
1,29,60.7,15,14.5,7.9
1,40,105.7,10,10,0.1
1,39,51.3,9,1.3,7.6
1,29,34,19,18.8,6.3
1,28,15,13,9.1,2.5
1,40,59.1,10,22.2,0.2
1,25,27,13,20.2,0.2
1,35,42.8,10,2.7,3.2
1,41,63.2,9,12.2,2
1,59,28.1,12,9.5,6.1
1,21,45.2,8,7.7,7.9
1,37,94.4,10,16.4,3.1
1,39,72,20,23.3,4.2
1,43,37.9,14,6.4,2.3
1,43,45.5,6,3.9,6.7
0,58,55.8,14,6.1,0.8
1,28,73,14,10.4,0.4
1,26,65.1,11,22.2,1.1
0,27,65.9,4,12.5,0.8
1,23,49.8,7,23.5,5.7
1,27,49.7,9,2.4,4.7
0,18,61,10,12.3,1.2
1,46,15,15,22.3,1.9
1,32,93.2,16,21.1,5.6
1,47,47.6,11,21.6,3.8
1,35,67.9,9,1.1,3.1
0,54,88.6,12,4.5,0.7
1,45,104.1,9,18,0
1,41,39.2,15,10.2,4.7
1,37,52.4,12,9.4,0.6
1,55,15,6,15.4,5.5
1,33,61.4,12,11,6.6
1,18,52.9,14,24.4,7.7
1,44,68.1,11,8.3,2.7
0,41,59.3,6,4.5,0.8
1,18,15,14,8.1,5.5
1,49,30,11,10.8,0.7
1,21,31.2,5,8.8,5.6
1,39,75.3,10,8.4,4.4
1,36,18.2,6,14.6,0.3
1,37,75.6,14,18.1,2.5
1,31,93.3,8,16.2,2.6
1,52,40.8,7,20.7,6.1
1,43,50.7,4,7.8,5.6
1,23,83.5,12,14.7,3.4
0,35,19,8,14.6,2.5
0,20,24.5,10,5.8,2.7
1,47,75.8,8,17.5,0.4
1,45,15,9,20.1,7.9
1,18,32.6,14,13.6,4.8
1,37,74.8,13,20.5,0.1
1,48,59.3,7,9.5,1.6
1,33,58.4,5,12.1,0.9
0,32,30.7,9,4.3,6.9
1,32,100.3,7,13.4,4.6
1,45,92.2,7,15.7,2.7
1,20,55.3,5,12.3,1.3
1,29,24.2,16,7.2,2.3
1,27,21,8,19.9,5.4
1,43,67.1,10,18,6.2
1,42,48.1,11,14.1,6.5
0,18,47.1,7,5.5,2.6
1,21,46.6,10,17.8,4.4
1,21,92.2,12,23.3,0.2
1,35,67.8,9,21.1,7.5
1,49,47.3,10,6.2,3.2
1,62,15,9,22.7,5.2
1,40,87.2,10,21.3,5.8
1,48,70.1,10,11.5,1.7
1,37,58.3,14,8.5,6.9
1,20,60.4,7,15.1,0.1
1,39,34.1,9,22.5,1.7
1,33,52.2,12,11.6,6.7
1,49,15,13,16.5,0.3
1,28,52.8,10,24.9,4.7
1,21,42.6,11,24.2,6.2
0,19,24,12,6.4,7.2
1,48,84.9,15,16.5,4.8
1,27,38.7,7,22.8,2.9
1,35,94.8,10,4.5,6.5
1,28,67,13,16.6,7.8
1,18,33.4,7,7.6,6.5
1,58,77.1,5,20.2,6.9
0,41,111.8,5,5.7,2.4
1,32,56.2,18,15.1,0
1,46,58.6,12,19.4,6.7
1,32,75.4,8,19.6,5.7
0,31,28.2,9,2.1,5.9
1,19,46.5,5,9.8,0.6
1,33,36.5,8,22.6,3.1
1,26,50,9,14.4,5.3
1,35,77,8,4.3,0.6
1,22,48,7,8.6,4.6
1,22,26.2,9,2.8,4.8
1,28,51,9,17.8,1.6
1,41,51,9,20,0.8
1,23,20.6,8,21.2,1.2
1,37,29.9,9,20.9,6.7
1,27,15,15,1.6,4.8
1,35,46.7,7,18.2,5.2
1,55,34.8,12,24.2,4.6
1,25,85.8,12,6.6,0.8
1,21,27.3,2,23.3,6.4
1,41,72.4,10,4.1,3.4
1,39,59.6,13,15.5,1.7
1,31,90.2,14,20.1,1.9
1,42,35.4,14,20.7,2
1,20,42.4,10,7.8,7
1,25,72.5,6,3.8,7.1
1,56,74,11,6.9,5.5
1,45,59.8,10,18.1,3.2
1,44,22.5,13,6.3,5.5
1,56,31.5,11,3,4.1
1,37,105.2,14,18.8,6.4
1,45,42.7,12,9.5,6.7
1,48,15,5,21.2,1.9
1,21,79.6,5,1.6,2.3
1,34,34.1,8,23.9,8
1,64,44.7,12,10.8,3.2
1,50,48.1,12,12.9,2.4
1,26,68.8,16,5.2,5.7
1,18,82.2,6,7.1,6.4
0,39,38.7,12,16.5,1.2
1,31,47.1,9,12.9,7.3
1,26,50.3,15,6.7,3.4
1,39,55.7,15,12.5,5.1
1,56,69.7,6,5,1.6
1,35,40.7,9,19.3,0.9
1,35,58.7,14,15.6,6.9
1,54,76.3,8,23.9,1
1,30,15,8,9,4.7
1,27,68,6,12.7,2.9
1,37,37,12,18.5,4.1
1,18,76.3,6,15.1,5.7
1,50,53.4,14,20.2,2.4
1,61,44.9,4,18.4,1
1,31,67.5,6,16.4,7.3
1,46,51.6,8,24.4,7
1,29,48.4,4,8.8,5.5
1,37,35.9,11,19.6,5.9
1,40,44.3,12,17.3,4.9
1,49,32.5,8,22.8,0
0,50,54.1,13,3.2,7
1,37,53.6,8,8.9,6.4
1,44,69.7,7,12.2,5.8
1,30,20,17,6.6,1.4
0,43,51.7,11,1.2,6.2
1,38,67.6,13,2.3,6.3
1,43,62.5,6,23.4,5.7
1,27,128.1,15,14.8,3.3
1,30,69.2,7,20.3,6.7
1,44,49.2,11,11.9,0.9
1,47,71.2,12,19.5,1.7
1,31,56,16,24.2,4.6
1,27,40.8,8,9.8,4.9
0,41,25.8,8,1.9,3.7
1,28,46.5,11,23.2,1.7
0,22,48.7,7,10.6,0.1
1,42,75.7,10,6.4,1.8
1,48,79.8,7,4.2,1
1,50,74.4,13,1.3,4.9
