"price","area","bedrooms","age","location"
128.6,149.5,4,24,"C"
74.2,134.1,3,42,"B"
118.8,116.8,3,15,"A"
64,113.6,3,23,"B"
111.1,154.7,5,9,"B"
118.5,158.8,4,34,"A"
115.7,136,2,18,"B"
112.7,116.2,4,4,"A"
88.7,83.3,2,21,"B"
93,86.4,2,37,"A"
69.1,69.8,2,12,"B"
115.3,134.1,4,20,"B"
126.6,145,3,10,"A"
62.3,128.8,4,43,"B"
47.8,40,1,4,"B"
75.9,115.6,2,10,"C"
75.5,92.1,2,33,"C"
86.6,133.6,3,19,"B"
72.2,71.8,2,13,"B"
43.1,59.7,1,36,"B"
106.9,154.2,3,35,"B"
106.9,129.5,3,10,"A"
122.7,151.3,3,37,"B"
91.1,113.6,2,30,"C"
63.1,131.9,3,7,"B"
40.2,73.7,3,49,"B"
106.7,116.5,2,20,"B"
126.7,140.5,4,37,"A"
71.6,58.3,2,0,"B"
99.8,116.7,3,25,"A"
88.2,76.8,1,11,"A"
62.4,110.2,2,20,"B"
49.8,104.8,2,39,"B"
120.8,156.1,4,15,"A"
106.2,105,3,12,"B"
98.1,131.7,4,24,"B"
112.1,130.1,3,3,"B"
78.5,105.3,2,12,"B"
69.6,102.9,2,29,"A"
78.8,132.9,3,38,"B"
52.4,93.8,2,23,"B"
89.4,119.9,3,26,"A"
92,134.9,4,16,"C"
183,179.2,4,13,"A"
90.2,84.1,2,2,"A"
75.2,123.9,4,46,"B"
83.5,129.9,4,20,"A"
104.5,140,3,29,"B"
91,139.2,3,24,"C"
120,178.2,4,33,"B"
70.5,103.4,3,21,"A"
64.3,97,3,8,"C"
68.2,100.6,3,7,"B"
30.1,89.2,2,26,"B"
30,99.6,2,48,"C"
36.9,77,2,11,"C"
52.9,146.9,3,48,"B"
93.2,112.8,4,15,"B"
112.3,150,4,20,"B"
84.8,119,3,11,"B"
109.2,167.8,5,11,"B"
110.8,145.8,5,34,"A"
123.7,136.2,3,8,"B"
77,125.3,3,29,"B"
126.8,169.4,3,32,"A"
88.6,116.1,3,13,"C"
66,60.1,1,7,"B"
99,141.4,4,21,"B"
135.6,134.8,3,7,"A"
30,56.4,1,19,"C"
143.2,153.9,3,14,"A"
48,83.8,2,29,"C"
101.7,128.9,4,47,"A"
81.7,122.3,2,20,"C"
107.9,125.9,4,5,"B"
48.3,110.6,4,46,"B"
104.7,162.6,4,43,"B"
80.2,140.5,3,28,"C"
30,88.8,3,24,"C"
92.8,120.5,2,2,"B"
87.8,82.7,1,1,"C"
96.9,149.8,4,7,"B"
78.9,145.9,3,43,"B"
89.8,67.3,1,1,"B"
58.7,124.5,4,27,"C"
87.7,153.3,4,49,"A"
63.8,114.5,3,18,"B"
68.1,112.3,2,46,"C"
65.8,112.5,4,29,"C"
