avg_income,median_income,income_inequality,happyScore
2096.76,1731.506667,31.44555556,4.35
1448.88,1044.24,42.72,4.033
7101.12,5109.4,45.47555556,6.574
19457.04,16879.62,30.29625,7.2
19917,15846.06,35.285,7.284
3381.6,2931.48,24.215,5.212
1265.34,994.14,32.665,4.694
17168.505,15166.455,28.745,6.937
870.84,630.24,39.76,3.587
5354.82,4523.565,34.1625,4.218
572.88,436.92,33.36,2.905
989.04,657,43.44,3.34
3985.71,2584.47,51.61,5.89
5567.235,3294.18,54.33375,6.983
3484.68,1632.6,60.46,4.332
5453.933333,4814.453333,27.75444444,5.813
20190.78,16829.1,33.79,7.427
23400.04,19442.92,32.93,7.587
7557.99,4448.01,51.27,6.67
1490.52,1030.08,42.82,4.252
2673.642857,2108.13,37.57928571,5.14
4618.062857,2618.674286,54.81571429,6.477
6901.466667,4373.52,49.01888889,7.226
10493.955,8624.295,31.84,5.689
9430.905,8363.37,26.41375,6.505
19285.96,16291.26,31.54166667,6.75
1875.24,1348.74,44.63,4.369
17496.51,15630.885,28.155,7.527
4430.76,2836.453333,48.41777778,4.885
3835.653333,2435.266667,50.09555556,5.975
7906.725,6540.135,32.5275,5.429
13842.99,11782.395,34.625,6.329
1050.72,857.16,33.17,4.512
17310.195,14962.56,27.72375,7.406
18096.78857,14971.25143,32.25571429,6.575
2520.96,1791.48,42.18,3.896
17099.55,14172.735,34.4325,6.867
1957.266667,1483.773333,40.89444444,4.297
1577.04,1148.28,42.77,4.633
11507.565,9776.475,35.00125,4.857
